30/07/2017 11:53:37,,,,,,,,,,,,,,,,,,,
Type,Welsh Type,Latin,English,Welsh,Plural,Gender,unknown,unknown,Category,SubCategory,Welsh Details,English Details,Wiki Link,Picture Credit,Picture Link,Visitor,Rare,Location,unused
bird,adar,11,,,,,,,,,,,,,,,,,
bird,adar,PROCELLARIIDAE,PETRELS,PEDRYNNOD,,,,,,,,,,,,,,,
bird,adar,Macronectes giganteus,giant petrel,pedryn mawr deheuol,pedrynnod mawr deheuol,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Macronectes halli,Hall's giant petrel,pedryn mawr gogleddol,pedrynnod mawr gogleddol,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Fulmarus glacialis,northern fulmar,aderyn drycin y graig,adar drycin y graig,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,UK,
bird,adar,Fulmarus glacioides,southern fulmar,aderyn drycin y De,adar drycin y De,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Thalassoica antarctica,Antarctic petrel,pedryn yr Antarctig,pedrynnod yr Antarctig,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Daption capense,pintado petrel,pedryn patrymog,pedrynnod patrymog,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Pagodroma nivea,snow petrel,pedryn yr eira,pedrynnod yr eira,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Lugensa brevirostris,Kerguelen petrel,pedryn Kerguelen,pedrynnod Kerguelen,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Pterodroma macroptera,great-winged petrel,pedryn adeinfawr,pedrynnod adeinfawr,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Pterodroma aterrima,Mascarene black petrel,pedryn Ynys Réunion,pedrynnod Ynys Réunion,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Pterodroma lessonii,white-headed petrel,pedryn penwyn,pedrynnod penwyn,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Pterodroma hasitata,black-capped petrel,pedryn capanog,pedrynnod capanog,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Pterodroma cahow,cahow,cahow,cahowiaid,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Pterodroma incerta,Schlegel's petrel,pedryn yr Iwerydd,pedrynnod yr Iwerydd,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Pterodroma becki,Solomon Islands petrel,pedryn Beck,pedrynnod Beck,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
bird,adar,Pterodroma alba,Phoenix petrel,pedryn Ynysoedd y Ffenics,pedrynnod Ynysoedd y Ffenics,g,,,PROCELLARIFORMES,PROCELLARIIDAE,,,,,,,,,
